,IP,ASN
13158,8.39.157.0,"STRIPE2 - Stripe, Inc."
13162,8.39.174.0,"OFI-DC - OppenheimerFunds, Inc."
13176,8.39.223.0,CONVO-DAL - Convo
13195,8.40.35.0,"VSSMEDICAL-CT-01 - Sigmund Software, LLC"
13224,8.40.130.0,AS55234
13236,8.40.154.0,LCHSASN - Legacy Community Health Services
13259,8.40.244.0,"PBP-ASN - PrimeSource Building Products, Inc."
13262,8.41.0.0,INTUIT-PLN-DC - Intuit Inc.
13279,8.41.32.0,RALIS - Ralis Services Corp
13281,8.41.35.0,EDMUNDS-ASN - EDMUNDS.COM
13302,8.41.102.0,PTT-AS - High 5 Games
13306,8.41.109.0,AGIOAPCNY2 - Agio LLC
13307,8.41.110.0,"DAYZIM - The Day & Zimmermann Group, Inc."
13328,8.41.194.0,HVHS-AS - Heritage Valley Health System
13340,8.41.208.0,PSI-NY-1 - Amherst Pierpont Securities
13342,8.41.211.0,"CREDITSIGHTS-NJ - CreditSights, Inc"
13361,8.42.18.0,"CREE-DURHAM-01 - Cree, Inc."
13362,8.42.19.0,ESPAL - Espalier Global Management LLC
13364,8.42.24.0,ASHA-HQ - American Speech-Language-Hearing Association
13369,8.42.53.0,LBMCAS01 - LBMC
13375,8.42.60.0,"GORDIAN-GROUP - The Gordian Group, Inc."
13416,8.42.162.0,"SPSCOMMERCE - SPS Commerce, Inc."
13419,8.42.168.0,CAPELLAUNIVERSITY - Capella University
13430,8.42.194.0,JCPOWER-1945 - Johnson City Power Board
13431,8.42.195.0,GRAEBEL - GRAEB
13433,8.42.200.0,ALLSOUTH-INTERNET - AllSouth Federal Credit Union
13435,8.42.202.0,"NCOCC - North Carolina 811, INC"
13444,8.42.211.0,CALIBERCOLLISION - Caliber Holdings Corporation
13468,8.42.244.0,CL-200 - Clearent LLC
13470,8.42.249.0,QT-SEC - Quiktrip Corporation
13474,8.43.22.0,PFFCUGW - Police and Fire Federal Credit Union
13475,8.43.23.0,DELAWARE-RIVER-AND-BAY-AUTHORITY - Delaware River and Bay Authority
13477,8.43.25.0,UNITEDONE - United One
13478,8.43.26.0,DANDH - D&H Distributing Company
13479,8.43.28.0,BGIM-ASN - Brandywine Global Investments
13533,8.44.80.0,AS202
13538,8.44.136.0,"CROCS - CROCS, INC."
13550,8.44.167.0,RF-SF - Rodan & Fields LLC
13558,8.44.183.0,SFO - WB Games Inc.
13560,8.44.192.0,LACKAWANNA-COUNTY - Lackawanna County Government
13566,8.44.203.0,GEMINI-EXCHANGE
13572,8.44.213.0,THERAPSERVICES-AS - Therap Services
13584,8.44.227.0,"RENTPATH-INC - PRIMEDIA, INC."
13586,8.44.232.0,"CBR-TS-AND-CBR-SF - CBR SYSTEMS, INC."
13590,8.45.16.0,"LEADFUSION - Leadfusion, Inc."
13608,8.45.128.0,PATRICK-SOLUTIONS-INC - PATRICK SOLUTIONS INC
13611,8.45.132.0,CORPORATE-ONE-FCU - Corporate One Federal Credit
13612,8.45.133.0,"PLS-AS - PLS Financial Services, Inc."
13619,8.45.160.0,"ZULILY - zulily, inc."
13621,8.45.162.0,AR-CORP01 - Amazon Robotics LLC
13626,8.45.167.0,UXCECLIPSE-ASN - TECTURA CORPORATION
13650,8.46.39.0,"SDSA - Samsung SDS America, Inc."
13652,8.46.41.0,IRI-IAD - International Registries
13653,8.46.42.0,"NOBLIS-AUTONOMOUS-SYSTEM - Noblis, Inc."
13655,8.46.44.0,SAP-NS2-CORP - SAPNS2
13682,8.47.3.0,RL-AS - Red Lobster
13690,8.47.33.0,"SIRONA-DENTAL-CLT - Sirona Dental, Inc."
13691,8.47.34.0,"MURFDATA1 - Murfreesboro Data, LLC"
13707,8.47.78.0,FLASHPOINT-SFO-AS-1 - Flashpoint Informatics Incorporated
13708,8.47.79.0,"MAYVENN - Mayvenn, Inc"
13731,8.192.160.0,"ASN-ENOC - EnerNOC, Inc."
13740,8.224.5.0,BCBSVT-DOT8-ASN - BCBSVT
13744,8.224.10.0,AUTOTASK-CORPORATION - Autotask Corporation
13745,8.224.11.0,SYMQUEST-SB-NET - SymQuest Group. Inc
13755,8.224.99.0,MSS1 - Movers Specialty Service
13759,8.224.152.0,SETONHILLUNIVERSITY - Seton Hill University
13761,8.224.178.0,RMSOURCE-INC-DURHAM-DATACENTER-NC - RMSource Inc.
13762,8.224.179.0,MEASUREMENT-INCORPORATED-DURHAM-DATACENTER-AS - Measurement Incorporated
13780,8.225.203.0,"SUNESYS - Sunesys, LLC"
13782,8.225.222.0,HANOVER-HOSPITAL - Hanover Hospital
13903,12.1.88.0,OCFL-COMPTROLLER - Orange County Comptroller
13905,12.1.96.0,PLASTIPAK-PACKAGING - Plastipak Packaging
13924,12.2.191.0,"CHGNET - Calfee, Halter & Griswold, LLP"
